,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Measure ID,Application Nos,Application Stage,Application Status,Measure Code,Measure Category,Measure Type,Measure Name,Quantity,Is it Retrofit or New Construction?,Is it a New PV System or an Expansion of an Existing System?,Status of Interconnection Application,Latitude,Longitude,DC System Size (kW),Module Type,Array Type,Modelled Total System Losses (%),Tilt (deg),Azimuth (deg),Retail Electricity Rate ($/kWh),January AC Energy (kWh),February AC Energy (kWh),March AC Energy (kWh),April AC Energy (kWh),May AC Energy (kWh),June AC Energy (kWh),July AC Energy (kWh),August AC Energy (kWh),September AC Energy (kWh),October AC Energy (kWh),November AC Energy (kWh),December AC Energy (kWh),Total Annual AC Energy (kWh),Applicant Comments,Total Emissions Reduction,Total Electricity Savings,Equipment & Material Costs,Labour Cost,Design Cost,Total Cost,Actual Equipment & Material Costs,Actual Labour Cost,Actual Design Cost,Actual Total Cost,Measure Incentive,Applicable Measure Incentive,Maximum Eligible Measure Incentive,Total Eligible Measure Incentive,Maximum Applicable Measure Incentive,Total Applicable Measure Incentive,Application Stage : Application Status,AC_CALC,Comment
0,0,0,0,0,0,0,01DgER0sjDrHVlhYYqxO,ESB-10051,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,51.07143,-113.99589,129.6,Standard,Fixed - Roof Mount,11.8,10,178,0.063,2467,4129,10694,13465,20658,22429,20700,18831,14428,7532,4644,1086,141063,"Modelled System losses are based on site specific data, equipment losses and analysis of historical production data of KCP Energy systems located nearby",1412.77,0,161482,62286,9421,233189,0,0,0,0,64800,0,58297.25,58297.25,0,0,Pre-Approval : Application Submitted,149904,
1,1,1,1,1,1,1,0EcMBGQqNYJ4FTQEt6s0,ESB-11226,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,50.98453,-113.93607,158.4,Standard,Fixed - Roof Mount,12,10,180,0.05938,3219,5100,13132,16454,25305,27443,25234,22992,17701,9287,5814,1644,173325,"Modelled System losses are based on site specific data, equipment losses and analysis of historical production data of KCP Energy systems located nearby",1726.72,0,186278,71850,7983,266111,0,0,0,0,79200,0,66527.75,66527.75,0,0,Pre-Approval : Application Submitted,180058.6,
2,2,2,2,2,2,2,0LvQKF0L51DeqO9aByXM,ESB-11244,Pre-Project,Application Information Requested,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.4366506,-113.6043939,63.7,Premium,Fixed - Roof Mount,15.85,8,90,0.05287,405.04,1732.28,4813.96,7371.44,9286.8,8961.91,9453.18,8012.6,5324.71,2974.69,714.83,68.87,59120.31,azimuth is E/W 90° and 270°,694.4,0,78510,30000,4440,112950,0,0,0,0,31850,0,28237.5,28237.5,0,0,Pre-Project : Application Information Requested,59371.2,
3,3,3,3,3,3,3,0NoQGxiWScSmDtNhwfny,ESB-11422,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,55.19,-118.8,84.6,Premium,Fixed - Roof Mount,12,20,90,0.07,1800,3600,7700,10600,12000,12400,12000,10200,6900,4200,2100,1300,84800,"Panels are the 425 watts from spec sheet above, as well as 15 kW inverters",922.23,0,76140,38070,12690,126900,0,0,0,0,42300,0,31725,31725,0,0,Pre-Approval : Application Submitted,76378.5,
4,4,4,4,4,4,4,0z9G7B1fM1GrGxEo3PGW,ESB-11477,Payment,Incentive Recommended,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,55.160408,-118.870717,180,Standard,Fixed - Roof Mount,14.08,5,180,0.0562,2854,5491,12086,20294,24478,25430,25082,21436,14295,8615,3782,2043,165886,No comments. Basic roof mounted solar PV system.,1962.19,0,244919.5,44500,7500.5,296920,244919.5,44500,7500.5,296920,90000,90000,74230,74230,74230,74230,Payment : Incentive Recommended,164275,
5,5,5,5,5,5,5,12BimFsVKgsPgHh7qpCs,ESB-11429,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.6469,-112.0106,52.2,Standard,Fixed - Open Rack,12,35,180,0.07623,2148,2945,5170,7442,7878,7683,8501,7310,5599,4010,2382,1930,62998,This is a resubmission because we had a chat with an ESB reviewer and it was recommended that we resubmit from scratch to ensure all documents are provided and to increase our chances of being approved for the rebate.,569.03,0,100568.52,25786.8,2578.68,128934,0,0,0,0,26100,0,32233.5,26100,0,0,Pre-Approval : Application Submitted,63529.5,
6,6,6,6,6,6,6,19b9Ky6ziyOY0B9FHjcb,ESB-11481,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.54765,-113.32874,188.1,Standard,Fixed - Roof Mount,20,10,135225,0.049,4192,7649,15163,20595,25360,26258,27045,22434,14502,9266,4548,3085,180097,Note the two different azimuth. Adding solar to dealership.,2050.49,0,197505,52602.1,36907.24,287014.34,0,0,0,0,94050,0,71753.585,71753.59,0,0,Pre-Approval : Application Submitted,185677.9,Azm
7,7,7,7,7,7,7,19kdxjxt2b8taGavcAVe,ESB-10625,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,53.51041,-113.40939,847.03,Premium,Fixed - Roof Mount,14.3,5,90,0.07,16271.34,35746.1,75486.03,112633.64,139977.69,135316.68,142882.68,115618.24,81773.15,51113.72,20397.13,12744.41,939960.81,,9233.51,0,1079650,155615,0,1235265,0,0,0,0,423515,0,308816.25,308816.25,0,0,Pre-Approval : Application Submitted,801075.8,
8,8,8,8,8,8,8,1Jm5TIaK74iDc38myBrZ,ESB-10280,Post-Project,Application Under Review,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,New Construction,New PV System,0,505825.4,-114.0719,58.86,Premium,Fixed - Roof Mount,15,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.61,0,1180,0,0,1180,0,0,0,0,1770,0,295,295,0,0,Post-Project : Application Under Review,58732.2,Lat
9,9,9,9,9,9,9,1fXPOMnlFvf7Kr2e6hu5,ESB-10062,Pre-Approval,Application Submitted,ESB-OGZSPV-0002,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems 15kW or greater,1,Retrofit,New PV System,0,50.94704,-113.9829,706.05,Standard,Fixed - Open Rack,12.1,13,180,0.05362,15698,22795,59110,73898,111910,121278,112314,102663,79096,41946,26334,8465,775507,none at this time,7696.68,0,1532129,590964,65663,2188756,0,0,0,0,353025,0,547189,353025,0,0,Pre-Approval : Application Submitted,840677.5,
10,10,10,10,10,10,10,1oKhc8kcwxhPT9Rgrqre,ESB-10515,Payment,Incentive Payment in Progress,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,49.76398,-112.21824,14.58,Standard,Fixed - Roof Mount,15,15,180,0.22,672,972,1400,1600,1700,1800,2000,1800,1300,1200,759,586,15789,none,158.94,0,21080.88,5270.22,1386.9,27738,22745.16,3883.32,1109.52,27738,7865,9477,6934.5,6934.5,6934.5,6934.5,Payment : Incentive Payment in Progress,17435.6,
11,11,11,11,11,11,11,1wOZH7LKPUbvpj1jUcxG,ESB-11293,Pre-Approval,Application Submitted,ESB-OGZSPV-0001,Solar PV,On-Site Power Generation - Solar PV,Solar PV - Systems less than 15 kW,1,Retrofit,New PV System,0,52.306806,-113.237066,11.04,Standard,Fixed - Open Rack,8,35,180,0.065,1513,1248,1143,1512,985,1006,480,999,1122,582,1219,1175,12984,345W Solar Modules,120.35,0,21110,4276.8,0,25386.8,0,0,0,0,7176,0,6346.7,6346.7,0,0,Pre-Approval : Application Submitted,14509,
