ID,FACILITY NAME,LICENSEE,COMPANY,ADDRESS,,latitude,longitude,CITY,POSTAL CODE,PROVINCE,COUNTRY,LHIN,TYPE,HOSPITAL,CLASS,Total,A,B,C,D,Upgraded D,New,Long Stay,Convalescent Care,Respite,ELDCAP,Veterans' Priority Access,Beds in Abeyance (BIA),Designated Specialized Unit,Other,Interim,LS License Expiry,Up for Redev.,MANAGED BY
NH4503,VALLEYVIEW RESIDENCE,Advent Health Care Corporation,Advent Health Care Corporation,541 Finch Avenue West,,,,North York,M2R 3Y3,Ontario,Canada,Central,Not-For-Profit,,New,174,,,,,,174,174,,,,,,,,,6/30/2035,,
NH2125,NIPISSING MANOR NURSING CARE CENTER,1895357 Ontario Inc.,1895357 Ontario Inc.,1202 Highway 94,,,,Corbeil,P0H 1K0,Ontario,Canada,North East,For-Profit,,B / C,120,,46,74,,,,117,,,,3,,,,,6/30/2025,Yes,
H22025,BETHANY LODGE,Bethany Lodge,Bethany Lodge,23 Second Street,,,,Markham,L3R 2C2,Ontario,Canada,Central,Not-For-Profit,,New,128,,,,,,128,128,,,,,,,,,3/26/2037,,
NH2048,RIVER GLEN HAVEN NURSING HOME,ATK Care Group Limited,ATK Care Group Limited,160 High Street,"39.7194647, -104.9649196",39.71946,-104.96492,Sutton West,L0E 1R0,Ontario,Canada,Central,For-Profit,,C,119,,,119,,,,119,,,,,,,,,6/30/2025,Yes,
NH3633,SANDFIELD PLACE,458422 Ontario Limited,458422 Ontario Limited,220 Emma Street,,,,Cornwall,K6J 5V8,Ontario,Canada,Champlain,For-Profit,,B,53,,53,,,,,52,,,,1,,,,,6/30/2025,Yes,
H11318,CAREFREE LODGE,Toronto Long-Term Care Homes And Services,City of Toronto,306 Finch Avenue East,"43.7850097, -79.39411199999999",43.78501,-79.39411,North York,M2N 4S5,Ontario,Canada,Central,Municipal,,C,127,,,127,,,,127,,,,,,,,,Municipal,Yes,
NH2014,CHARTWELL AURORA LONG TERM CARE RESIDENCE,Chartwell Master Care LP,Chartwell,32 Mill Street,,,,Aurora,L4G 2R9,Ontario,Canada,Central,For-Profit,,C / New,235,,,171,,,64,219,14,2,,,,,,,11/16/2023,Yes,
NH4401,CHARTWELL WOODHAVEN LONG TERM CARE RESIDENCE,Regency LTC Operating Limited Partnership on behalf of Regency Operator GP Inc. as General Partner,Chartwell,380 Church Street,,,,Markham,L6B 1E1,Ontario,Canada,Central,For-Profit,,New,192,,,,,,192,191,,1,,,,,,,6/30/2035,,
NH1325,CHARTWELL GIBSON LONG TERM CARE RESIDENCE,Chartwell Master Care Lp,Chartwell,1925 Steeles Avenue East,,,,North York,M2H 2H3,Ontario,Canada,Central,For-Profit,,Upgraded D,202,,,,,202,,202,,,,,,,,,6/30/2025,Yes,
NH2789,ALGONQUIN NURSING HOME OF MATTAWA LIMITED,Algonquin Nursing Home of Mattawa Ltd.,Algonquin Nursing Home of Mattawa Ltd.,231 Tenth Street,,,,Mattawa,P0H 1V0,Ontario,Canada,North East,Not-For-Profit,,B,72,,72,,,,,72,,,,,,,,1,6/30/2025,Yes,
