company_name,address,LATITUDE,LONGITUDE,contractor_type
Buhler Mechanical Service Ltd.,"911 Tungsten St, Thunder Bay, ON P7B 5Z3",48.4111848,-89.2536044,HRAI Certified Installers & Designers
Northern Lights Heating,"415 Mary St E, Thunder Bay, ON P7E 4K2",48.3696231,-89.2605124,HRAI Certified Installers & Designers
Ontario First Nations Technical Services Corporation,"1159 Alloy Dr Suite 202, Thunder Bay, ON P7E 1C9",48.4071259,-89.259348,HRAI Certified Installers & Designers
D.Peppard Mechanical Inc.,"116 Klages Rd, Thunder Bay, ON P7E 5G9",48.282071,-89.521172,HRAI Certified Installers & Designers
Trethewey Mechanical,"163 Saxon Dr, Thunder Bay, ON P7G 1K3",48.4510018,-89.2819869,HRAI Certified Installers & Designers
Isberg Heating,"4323 Mapleward Rd, Thunder Bay, ON P7K 1A4",48.3911571,-89.3555095,HRAI Certified Installers & Designers
Lakehead Burner Service Ltd.,"626 Waterloo St S, Thunder Bay, ON P7E 2C5",48.375071,-89.2701881,HRAI Certified Installers & Designers
Clow Darling Limited,"1201 Cameron St, Thunder Bay, ON P7C 0A1",48.3900933,-89.2542841,HRAI Certified Installers & Designers
"City Of Thunder Bay, Building Division","427 Arthur St W, Thunder Bay, ON P7E 5R3",48.3810755,-89.28733,HRAI Certified Installers & Designers
Economy Heating Svc,"1600 Frederica St W, Thunder Bay ON, P7E3Z2",48.3647822,-89.3047972,HRAI Certified Installers & Designers
AlbinoMoose Geothermal,"1828 Broadway Ave, Thunder Bay, ON P7K 1M7",48.3566999,-89.346061,Geothermal
Alternate Basic Energy Systems,"1767 Oliver Rd, Thunder Bay, ON P7G 1K6",48.4163399,-89.3179045,Geothermal
Northern Geo-Thermal Systems,"545 Calvert Rd, Murillo, ON P0T 2G0",48.4631175,-89.4949666,Geothermal
Gas Dr,"Rosslyn Rd, Thunder Bay, ON P7K 1H6",48.3624877,-89.3617322,Geothermal
A Colla Insulation,"2001 Oliver Rd, Thunder Bay, ON P7G 1P3",48.4164881,-89.3332653,Insulation
Brock White Construction Materials,"715 Norah Crescent, Thunder Bay, ON P7C 5H9",48.3966141,-89.2558242,Insulation
Foam Guard,"229 Cadillac Cir, Thunder Bay, ON P7G 2E3",48.4669315,-89.3213687,Insulation
Giorgio Construction Inc.,"168 Market St, Thunder Bay, ON P7A 8A4",48.4568408,-89.2549158,Insulation
