,id,name,country,latitude,longitude,population
0,1,Bombo,UGA,39.71946,-104.96492,75000
1,2,Fort Portal,UGA,43.78501,-79.39411,42670
2,3,Potenza,ITA,43.73246,-79.34667,69060
3,4,Campobasso,ITA,43.75118,-79.48559,50762
4,5,Aosta,ITA,43.7934,-79.39067,34062
5,6,Mariehamn,ALD,43.69824,-79.47017,10682
6,7,Ramallah,PSE,43.87156,-79.59579,24599
7,8,Vatican City,VAT,43.86926,-79.43624,832
8,9,Poitier,FRA,43.71741,-79.48214,85960
9,10,Clermont-Ferrand,FRA,43.96564,-79.45821,233050
10,11,Besancon,FRA,43.75608,-79.52135,128426
11,12,Artigas Base,ATA,44.04894,-79.4634,60
12,13,Chipata,ZMB,42.01312,-71.31876,85963
13,14,Jinja,UGA,43.78183,-79.44446,301619
14,15,Arua,UGA,44.3459,-79.03751,250000
15,16,Mbale,UGA,32.77236,-117.0426,402368
16,17,Moroto,UGA,43.78174,-79.20326,371
17,18,Masaka,UGA,41.84402,-71.39805,65373
18,19,Mbarara,UGA,43.91218,-78.67372,83700
19,20,Otjiwarongo,NAM,41.19851,-73.2138,24815
20,21,Bologna,ITA,43.89737,-78.87515,488172
21,22,Cagliari,ITA,43.74685,-79.20313,291511
22,23,Catanzaro,ITA,43.76377,-79.21013,95251
23,24,Bari,ITA,44.52872,-78.53335,500577
24,25,L'Aquila,ITA,44.59753,-79.41268,68503
25,26,Ancona,ITA,43.88124,-78.94493,100507
26,27,Perugia,ITA,42.07879,-76.83698,149125
27,28,Trieste,ITA,44.23097,-78.39675,216035
28,29,Trento,ITA,44.30318,-77.78408,107808
29,30,Fort-de-France,FRA,43.64669,-79.39021,253995
30,31,Gifu,JPN,44.10408,-79.1119,412895
31,32,Saint-Laurent-du-Maroni,FRA,43.88584,-78.89223,24287
32,33,Caen,FRA,43.76263,-79.28056,190099
33,34,Nantes,FRA,43.78397,-79.16412,438537
34,35,Ajaccio,FRA,41.85791,-71.90028,54364
35,36,Montpellier,FRA,43.75467,-79.24789,327254
36,37,Dijon,FRA,43.95455,-78.28841,169946
37,38,Orleans,FRA,43.95079,-78.28804,217301
38,39,Rouen,FRA,43.88675,-78.90901,532559
39,40,Reims,FRA,43.80576,-79.336,196565
40,41,Amiens,FRA,43.744,-79.3032,143086
41,42,Nancy,FRA,41.39888,-81.54435,268976
42,43,Basse-terre,FRA,43.73728,-79.56777,307
43,44,Novi Sad,SRB,43.72719,-79.59663,225457
44,45,Banja Luka,BIH,43.68479,-79.73603,221738
45,46,George Town,GBR,44.08272,-80.20431,4268
46,47,Grand Turk,GBR,37.94609,-122.02765,5801
47,48,Douglas,GBR,45.51024,-75.21595,35854
48,49,San Marino,SMR,45.62972,-74.67045,29579
49,50,Willemstad,NLD,45.14626,-74.50391,146813
50,51,Oranjestad,NLD,42.98795,-81.24986,68775
51,52,Vaduz,LIE,45.4464,-75.61084,36281
52,53,Capitan Arturo Prat Station,ATA,45.3537,-75.75066,41
